Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2015,21.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2014,20.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2013,20.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2012,19.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2011,19.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2010,18.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2009,18.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2008,18,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2007,17.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2006,17.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2005,16.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2004,16.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2003,15.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2002,15.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2001,15,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2000,14.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1999,14.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1998,14,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1997,13.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1996,13.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1995,13.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1994,12.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1993,12.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1992,12.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1991,12,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1990,11.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1989,11.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1988,11.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1987,11,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1986,10.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1985,10.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1984,10.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1983,10.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1982,9.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1981,9.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1980,9.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1979,9.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1978,9.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1977,8.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1976,8.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,1975,8.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2016,34.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2015,34.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2014,33.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2013,32.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2012,32.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2011,31.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2010,30.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2009,30.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2008,29.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2007,28.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2006,28.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2005,27.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2004,26.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2003,26.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2002,25.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2001,24.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,2000,24.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1999,23.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1998,23,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1997,22.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1996,21.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1995,21.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1994,20.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1993,19.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1992,19.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1991,18.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1990,18.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1989,17.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1988,16.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1987,16.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1986,15.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1985,15.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1984,14.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1983,14.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1982,13.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1981,13.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1980,12.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1979,12.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1978,11.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1977,11.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1976,11.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Algeria,DZA,1975,10.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2016,25.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2015,25.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2014,25.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2013,25.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2012,25,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2011,24.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2010,24.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2009,24.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2008,24.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2007,24.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2006,24.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2005,24.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2004,24.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2003,24.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2002,24,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2001,23.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,2000,23.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1999,23.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1998,23.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1997,23.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1996,23.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1995,23,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1994,22.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1993,22.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1992,22.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1991,22.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1990,22.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1989,21.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1988,21.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1987,21.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1986,21,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1985,20.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1984,20.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1983,19.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1982,19.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1981,18.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1980,18.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1979,18,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1978,17.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1977,16.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1976,16.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Andorra,AND,1975,15.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2016,12.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2015,11.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2014,11.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2013,10.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2012,10.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2011,9.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2010,9.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2009,8.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2008,8.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2007,8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2006,7.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2005,7.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2004,6.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2003,6.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2002,6.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2001,5.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,2000,5.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1999,5.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1998,5.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1997,4.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1996,4.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1995,4.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1994,4.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1993,3.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1992,3.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1991,3.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1990,3.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1989,3.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Angola,AGO,1988,2.9,female
